
ag/uni/ales-kacjan,5,"Če bi taki profesorji učili še glavni predmet, potem bi pa akademija lahko napredovala!"
ag/uni/ales-kacjan,5,"Aleš je odličen pedagog. Tako naprej. Leta 1983 me je učil flavto v Kranju. Še danes se ga spominjam in sem ponosen, da je bil moj učitelj. Ima karizmo, strast, energijo in najpomembnejše: ljubezen in prednanost do svojih študentov. Tako naprej Kaco."
ag/uni/ales-kacjan,5,CESTITAM PROFESORE i samo produzi tako.S.Temkov
ag/uni/andrej-misson,3,Liraš
ag/uni/milivoj-surbek,5,Kva? Šurbiju ste dal najnižjo oceno? Sram vas bilo.....
ag/uni/ales-kacjan,5,"Če bi taki profesorji učili še glavni predmet, potem bi pa akademija lahko napredovala!"
ag/uni/ales-kacjan,5,"Aleš je odličen pedagog. Tako naprej. Leta 1983 me je učil flavto v Kranju. Še danes se ga spominjam in sem ponosen, da je bil moj učitelj. Ima karizmo, strast, energijo in najpomembnejše: ljubezen in prednanost do svojih študentov. Tako naprej Kaco."
ag/uni/ales-kacjan,5,CESTITAM PROFESORE i samo produzi tako.S.Temkov
ag/uni/andrej-misson,3,Liraš
ag/uni/milivoj-surbek,5,Kva? Šurbiju ste dal najnižjo oceno? Sram vas bilo.....
akademija-za-likovno-umetnost-in-oblikovanje/uni/fabio-smotlak,5,"Profesor je neverjetno razgledan, in ima na ALUO precej podcenjeno vlogo."
bf/uni/tomaz-accetto,5,"Asistent je zelo prijeten, vaje popestri s humorjem in  snov je nazorno razložena. Vedno pripravljen pomagati. Tudi na elektronsko pošto vestno odgovarja (kar pri nekaterih profesorjih/asistentih pogrešam) in je za pomoč študentom vedno na voljo."
bf/uni/jerneja-ambrozic-avgustin,4,Ima svoje boljše in slabše dneve :)
bf/uni/jerneja-ambrozic-avgustin,5,"Za moje pojme ena najboljših predavateljic na BF. Predavanja imajo neko uporabno vrednost in so podkrepljena s konkretnimi primeri, velikokrat vključi še izsledke najnovejših raziskav. Spodbuja študente k študiju po sodobnih angleških učbenikih in ne nekih zastarelih skriptah. Odprta za vprašanja in predloge, z njo se da domeniti praktično karkoli. Res je, da izpite popravlja precej časa in da je občasno malo razdražljiva zaradi preveč dela, vendar ji zaradi količine pridobljenega znanja vse skupaj oprostiš."
bf/uni/jerneja-ambrozic-avgustin,4,"Super profesorica. Snov podaja na zanimiv način, naredi genetiko zanimivo."
bf/uni/jerneja-ambrozic-avgustin,5,Najboljša profesorica na bf-u...vse pohvale..in samo tako naprej..prišla je kot smetana na koncu šolanja...
bf/uni/gregor-anderluh,5,Zanimiva predavanja in odlično razložena snov!
bf/uni/gregor-anderluh,5,"Gladko najboljši profesor na biotehniški! =) Super razalaga, tak u izi, ne teži pa se zanimiv je, češrav noben ne ve točno, zakaj... He owns it! =)"
bf/uni/gorazd-avgustin,5,"Gušty je fajn profesor brez travm iz otroštva. Stvari, ki se mu zdijo zanimive, predava motivirano in z raziskovalno iskrico v očeh. Da tudi jasno vedeti, kaj je v mikrobiologiji cool in kaj brez veze. In na izpitih je treba znati samo to, kar je pomembno. Je pa res, da rad zamuja na predavanja in izpite popravlja celo večnost. Svojih pomanjkljivosti se ne sramuje, ampak hudomušno duhoviči in potem mu na koncu vse skupaj oprostiš."
bf/uni/gorazd-avgustin,4,"Profesor dobro predava, zato ga je veselje poslušati. Predavanja so polna zanimivih in aktualnih tem. Tudi sicer je precej korekten, le popravljanje testov mu res ne gre od rok (en mesec je okoli kot bi mignil)."
bf/uni/franci-batic,5,"Familia: Baticeae
Species: Baticus Francus
:D

Drugače pa kapo dol pred njim... Kolikor znanja o botaniki pa on premore si nihče ne more predstavljati. Živa botanična enciklopedija... :D"
bf/uni/franci-batic,5,On je FRANC
bf/uni/franci-batic,5,"G. Batič Franc je res ""dec"" na mestu. Take osebo kot je on dvigujejo kvaliteto in dobro ime fakultete"
bf/uni/franci-batic,4,"zelo prijazen :) sicer snovi pri njemu je ogromno, ampk se da nardit. Cenim to da ni vzvišen in je res razgledan, pri ustnem izpitu ti zelo pomaga pa malo prečekira tvoj herbarij in je to to. Edino terenske so ubijalske ker nas večina ni u kondiciji da bi lahko tekli u hrib kot on :D"
bf/uni/martin-batic,1,"Potem pa da v izbit tabele, iz katerih ven izbriše podatke. Izpit je povsem brezvezno in neumno sestavljen."
bf/uni/tinka-bacic,5,"Razlaga zelo zanimivo in zabavno, super profesorica!"
bf/uni/tinka-bacic,5,"Prijetno prismuknjena, že dolgo se nismo toliko smejali na vajah kot pri njej. Obenem pa super razlaga. Legenda! :)"
bf/uni/tinka-bacic,4,"Tinka je super asistentka.Zna predstaviti snov, ki je lahko zelo dolgočasna z veliko entuziazma!"
bf/uni/gregor-belusic,5,"zelo razgledan, zanimiv in nevzvišen človek.
vaje pri njem so zelo razgibane in zanimive, poleg tega pa se od asistenta vedno naučiš nekaj novega in zanimivega, kar ni nujno del učnega načrta."
bf/uni/rajko-bernik,5,"moč ni v znanju, moč je v uporabljenem znanju"
bf/uni/janko-bozic,1,...brez besed...
bf/uni/ales-breznikar,1,"Dolgočasen, nejasen, ne ve, kaj bi rad povedal, nesamozavesten! Sploh pa ni pošten, spreminja stališča in pogoje, pa brez vse iniciative, verjetno mu drugi diktirajo, kako in kaj!"
bf/uni/boris-bulog,4,"...bil je tako prikupno zmeden,..."
bf/uni/boris-bulog,3,"Saj ne vem, kaj reči o njem... Zelo prijazen, srčen človek, vendar grozljivo zmeden. Predavanja so za umret dolgočasna (no, na čase ima kakšne svetle točke, ko se mu res nasmeješ). Rad bi naredil vse skupaj interaktivno, pa mu ne gre in ne gre... 
Zdi se mi, da je počasi zrel za upokojitev, da bo lahko noč in dan s svojim ljubim proteusom. :)"
bf/uni/boris-bulog,5,"Ustrežljiv, dostopen, strokoven"
bf/uni/boris-bulog,1,"neverjetna hitrost predavanja, kup tujk, ni časa ne za odmor, kot tudi ne za vprašanja. totalno nezanimivo, neuporabno in nepoučno"
bf/uni/matej-butala,5,"Najboljši profesor na fakulteti, vedno maksimalno pripravljen na vaje ter poln navdušenja nad snovjo, tako da navduši še študente. Veliko nauči, vendar to kar nauči in je ""ključno"" tudi zahteva, da znamo.
Njegove šale in primerjave so legendarne in z njihovo pomočjo je učenje prav zabavno :)"
bf/uni/matej-butala,5,"Zabavne primerjave, po potrebi razloži večkrat ali na različne načine.Poudarek je na praktičnem znanju in ne na nepotrebnih malenkostih, zato je to kar nauči treba dobro znati.Ne ""naklada"", je pripravljen pomagati, z njim se da skoraj vse zmenit."
bf/uni/matej-butala,5,"Če bi rekel, da ni super profesor, bi mu naredil krivico. Kapo dol pred takimi profesorji kot je on!!"
bf/uni/anton-cedilnik,5,Mi je všeč ker snov dobro razloži in te veliko nauči.
bf/uni/franci-celar,5,"Same odlike profesorju! Super predavanja, zanimiva, skripta odlično napisana!!!"
bf/uni/franci-celar,5,"Zelo fajn profesor, pri njegovih predavanjih mi je všeč to da izpostavlja pomembne stvari in se ne spušča v ene nesmiselne detaile kot smo vajeni pri mnogih profesorjih.."
bf/uni/franci-celar,5,"odličen profesor!
predavanja naredi sila zanimiva. morda pa diplomiram kar pri njem:)"
bf/uni/blaz-cigic,1,"Profesor na prvi pogled izgleda uredu, predavanja so tudi zadovoljiva, kar pa je velik problem pri njemu pa je osebni odnos profesor-študent. Se veliko veliko premalo posveti individualno študentu kot osebi.
Sam sem imel kar nekaj slabih izkušenj s njim, o katerih pa ne bi rad pisal tukaj."
bf/uni/blaz-cigic,3,"Sicer je res vredu predavatelj in ima dober odnos do študentov, a ni tako strog in ne zahteva prisotnosti, zato od predmeta večina študentov odnese relativno malo."
bf/uni/tjasa-danevcic,5,"Asistentka, ki še tako dolge vaje (petki do osmih zvečer ;) ) naredi najboljše vaje na BF. Snov razumljivo razložena, vedno pripravljena pomagati. Zelo prijeten odnos do študentov."
bf/uni/dogsa,5,"Simpatičen, nasmejan, izčrpno razlaga."
bf/uni/dogsa,4,Simpatičen in korekten! Več takih!
bf/uni/dogsa,5,Najboljši asistent kar se tiče razlage in podajanja snovi.
bf/uni/dogsa,5,Najboljši asistent :))
bf/uni/dogsa,5,"Korekten, vedno pripravljen pomagati/razložiti, nasmejan...skratka, super je! :)"
bf/uni/jasna-dolenc-koce,4,"Snov je solidno razložena, čeprav precej monotono... na izpitu pa lahko pričakuješ snov iz prosojnic."
bf/uni/jasna-dolenc-koce,4,"Brez dvoma so njena predavanja strokovna, pohvaliti pa moram tudi njen odnos do študentov (je zelo prijazna, razumevajoča oseba). Edini problem je v tem, da od njenih predavanj odneseš bore malo, če sediš bolj zadaj, ker govori tako potiho, da polovice stvari sploh ne slišiš."
bf/uni/jasna-dolenc-koce,4,"Kar se tiče njenega odnosa do študentov je za 11/10, res prijazna, z njo se da vse zmenit, tudi pri razlaganju se potrudi če ti kaj ni jasno, je pa res da ni kriva da uči glih rastline, ki kot opažam marsikomu niso ravno najbol priljubljena skupina živih bitij, pa tud bolj glasno bi lahko govorila ja :)"
